time,ticker,blockchain_type,min_value,max_value,average_amount,average_fee,average_gas_price,gas_used,difficulty,transaction_amount
1672945200,ETH,ETH,0.0,121508406596.83134,1729020768.2206967,0.00019868365728262154,30.3694001505109,18487425.166666668,58750003716598360000000,167
1672941600,ETH,ETH,0.0,31013956944.571003,464460273.28499275,0.0002072040729808388,25.583221177712883,19012025.5,58750003716598360000000,204
1672938000,ETH,ETH,0.0,24504836561.917805,276961317.089436,0.00022423826763915802,23.43940169632961,15126066.166666666,58750003716598360000000,154
1672934400,ETH,ETH,0.0,125883176083.33333,1111297925.0265324,0.00018507109206808168,22.478646080452076,13969369.5,58750003716598360000000,136
1672930800,ETH,ETH,0.0,240240133539.11014,1509302440.98397,0.0001397819439756118,28.783178360886357,13874047.0,58750003716598360000000,187
1672927200,ETH,ETH,0.0,122417340560.0,640921443.0538946,0.00028714250869156906,23.08884939457838,18225506.166666668,58750003716598360000000,234
1672923600,ETH,ETH,0.0,90600102983.47218,352974463.717802,0.00006869802614691018,37.079511216486985,14773700.833333334,58750003716598360000000,403
1672920000,ETH,ETH,0.0,10730149317.757921,186595004.26686135,0.0001560032505574816,20.684556925634407,15245319.333333334,58750003716598360000000,283
1672916400,ETH,ETH,0.0,173473317817.001,1746349634.097251,0.0002516627301312913,17.8169179014599,12934999.333333334,58750003716598360000000,105
1672912800,ETH,ETH,0.0,48458747999.645195,660472018.7206495,0.0002267403990110164,18.1937780038971,11489954.833333334,58750003716598360000000,103
1672909200,ETH,ETH,0.0,214291318335.75244,1993573621.454587,0.00025846910002316883,18.03057560655854,15245515.333333334,58750003716598360000000,116
1672905600,ETH,ETH,0.0,8926426982.676441,193448484.06327403,0.00018898856233073112,17.399680508581046,13032670.166666666,58750003716598360000000,119
1672902000,ETH,ETH,0.0,25823410495.268505,536558436.5356605,0.00026727429065025394,17.81110063729325,18495639.666666668,58750003716598360000000,112
1672898400,ETH,ETH,0.0,5821306029.170231,142312173.02420506,0.00027419118497624197,18.04556420202144,13472319.333333334,58750003716598360000000,129
1672894800,ETH,ETH,0.0,24869603010.0,367958929.5200434,0.00019076412157472157,18.449459396303805,13481108.333333334,58750003716598360000000,136
1672891200,ETH,ETH,0.0,164012820333.33334,955477238.2467155,0.00024638642486890934,19.82963849782985,15851986.5,58750003716598360000000,162
1672887600,ETH,ETH,0.0,12753215605.362131,225998643.60858297,0.00020410406464086025,25.06743182262478,16126274.166666666,58750003716598360000000,141
1672884000,ETH,ETH,0.0,78832765736.54651,964268634.4483595,0.00024257046181136403,19.092372786889904,16778184.5,58750003716598360000000,112
1672880400,ETH,ETH,0.0,54505485508.333336,702801031.3902092,0.00018775253561084624,24.00964482435339,12087017.5,58750003716598360000000,117
1672876800,ETH,ETH,0.0,932183133333.3334,14161830088.16376,0.00019035276035818,28.3788773094287,12716065.333333334,58750003716598360000000,112
1672873200,ETH,ETH,0.0,8809214585.0,161397385.2264355,0.0005161972254175716,29.065265325089285,13086095.666666666,58750003716598360000000,113
1672869600,ETH,ETH,0.0,19234656310.47631,254840626.1557335,0.00022190615704612555,30.407410263393,14702267.5,58750003716598360000000,131
1672866000,ETH,ETH,0.0,8899194293.716667,227089733.44927981,0.000173027950221639,23.898609388179867,13495369.0,58750003716598360000000,134
1672862400,ETH,ETH,0.0,100302146881.52022,879118361.6206635,0.00021686555905826103,26.570765164623992,11883153.166666666,58750003716598360000000,111
1672858800,ETH,ETH,0.0,81665000000.0,896356313.005262,0.0001833658924932113,26.102233243300034,12516411.666666666,58750003716598360000000,117
1672855200,ETH,ETH,0.0,29779598846.227818,483381374.24911284,0.00040205004174685867,26.9667986933292,13127261.666666666,58750003716598360000000,116
1672851600,ETH,ETH,0.0,26747351329.77597,584248949.8737687,0.00022215636514117667,308.1152724659147,17023824.166666668,58750003716598360000000,170
1672848000,ETH,ETH,0.0,23437405659.674103,476810563.246898,0.0001488357297288819,25.67156154154425,11430240.666666666,58750003716598360000000,116
1672844400,ETH,ETH,0.0,274774478399.58023,2229034042.173235,0.00016711352648127233,19.24118636558047,12375616.333333334,58750003716598360000000,140
1672840800,ETH,ETH,0.0,296576499065.61633,3968526758.852549,0.00042425894615096384,17.87908493120123,17929296.0,58750003716598360000000,92
1672837200,ETH,ETH,0.0,183628604724.83334,777650175.4044791,0.0007558731316713261,18.839780399531712,19009450.166666668,58750003716598360000000,148
1672833600,ETH,ETH,0.0,11096600699.49731,157605126.5338002,0.0001928374298841325,16.573645405898738,13976751.333333334,58750003716598360000000,170
1672830000,ETH,ETH,0.0,36881483119.38211,438246480.9300249,0.0003394061084546831,17.427138349464386,20669990.5,58750003716598360000000,141
1672826400,ETH,ETH,0.0,37434532124.13079,830077869.0013784,0.0006216638681861578,19.206930959340657,16532233.833333334,58750003716598360000000,65
1672822800,ETH,ETH,0.0,29687839301.380543,496128688.4998916,0.00024221875837478752,17.46987141497885,15127513.166666666,58750003716598360000000,116
1672819200,ETH,ETH,0.0,13135268600.144068,209984333.6105545,0.0001506874198580533,16.660923829383545,15163138.833333334,58750003716598360000000,174
1672815600,ETH,ETH,0.0,31850040881.94292,352819158.3638135,0.00019634622824653424,16.074484808169174,14480320.666666666,58750003716598360000000,122
1672812000,ETH,ETH,0.0,43484945972.94015,425191343.86545986,0.00018052538259400735,29.09767460618197,14644684.166666666,58750003716598360000000,128
1672808400,ETH,ETH,0.0,70774001972.43797,785600223.8485254,0.00024628918194309445,18.76584459678111,18920989.666666668,58750003716598360000000,138
1672804800,ETH,ETH,0.0,36538474958.74981,535129314.200022,0.00023813790906119974,28.744463856801914,14345323.166666666,58750003716598360000000,140
1672801200,ETH,ETH,0.0,42422624500.0,605950589.3747412,0.00019989425109032585,18.133174685044278,14825177.0,58750003716598360000000,128
1672797600,ETH,ETH,0.0,37246062121.666664,470840389.1589108,0.00022571348018267476,22.810830654381686,18161520.333333332,58750003716598360000000,163
1672794000,ETH,ETH,0.0,8357957495.577549,141355232.7556663,0.00035912483499064303,19.927798386696384,17515340.166666668,58750003716598360000000,146
1672790400,ETH,ETH,0.0,71949387543.75958,677570221.9551293,0.00015709289767524266,22.25096441642047,12520153.666666666,58750003716598360000000,132
1672786800,ETH,ETH,0.0,54739339993.333336,590732223.2840527,0.00026055242059523756,25.932840460667204,17564849.833333332,58750003716598360000000,138
1672783200,ETH,ETH,0.0,7714481797.828747,144295697.2093462,0.00017935978443368348,25.052822530880608,13042616.5,58750003716598360000000,123
1672779600,ETH,ETH,0.0,8066797219.730374,237560214.9744238,0.00021000005149025372,20.798891129346117,15463241.166666666,58750003716598360000000,135
1672776000,ETH,ETH,0.0,80125648037.81319,866610445.8191619,0.0002092308345455437,26.342135489825463,14738185.833333334,58750003716598360000000,114
1672772400,ETH,ETH,0.0,15109693347.745687,210967534.39225236,0.00019874458649768236,23.616309977676764,16105051.666666666,58750003716598360000000,133
1672768800,ETH,ETH,0.0,16961101374.317093,347935125.2724281,0.0001714288777914577,29.820809767676398,16092624.166666666,58750003716598360000000,166
1672765200,ETH,ETH,0.0,13996980797.122553,237949136.81637582,0.00021211138576043931,25.353904912376475,13476024.666666666,58750003716598360000000,125
