close_time,trading_pair,open,close,high,low,volume,trades_amount
1675209600,ETHUSDT,1590.32,1585.33,1590.74,1581.6,13718.771,21745622
1675206000,ETHUSDT,1577.56,1590.32,1600.77,1570.89,15862.477,25150286
1675202400,ETHUSDT,1586.96,1577.55,1590.42,1564.02,30099.713,47405678
1675198800,ETHUSDT,1597.34,1586.96,1598.61,1583.79,11617.637,18462859
1675195200,ETHUSDT,1594.36,1597.34,1598.83,1588.46,8447.318,13463423
1675191600,ETHUSDT,1593.15,1594.35,1595.28,1589.86,7821.0186,12449153
1675188000,ETHUSDT,1593.39,1593.16,1596.56,1589.26,9075.454,14455159
1675184400,ETHUSDT,1589.0,1593.39,1605.18,1586.97,23484.182,37479277
1675180800,ETHUSDT,1583.09,1588.99,1596.13,1581.92,18661.115,29646724
1675177200,ETHUSDT,1588.13,1583.09,1589.56,1579.77,17813.908,28232387
1675173600,ETHUSDT,1573.67,1588.14,1588.73,1572.89,33497.562,52994152
1675170000,ETHUSDT,1570.91,1573.66,1575.77,1570.9,9914.888,15601575
1675166400,ETHUSDT,1567.53,1570.91,1572.12,1566.62,9833.292,15434292
1675162800,ETHUSDT,1572.09,1567.53,1574.02,1565.82,9915.978,15573198
1675159200,ETHUSDT,1571.69,1572.09,1575.48,1571.06,7380.946,11610230
1675155600,ETHUSDT,1580.03,1571.69,1583.98,1567.19,15262.491,24038233
1675152000,ETHUSDT,1565.97,1580.04,1581.08,1565.93,17560.45,27649552
1675148400,ETHUSDT,1562.11,1565.96,1569.53,1561.63,9885.064,15474061
1675144800,ETHUSDT,1572.7,1562.11,1573.36,1561.79,12140.173,19034548
1675141200,ETHUSDT,1568.87,1572.7,1572.87,1566.52,8873.821,13931694
1675137600,ETHUSDT,1569.38,1568.87,1570.67,1567.0,8543.477,13404597
1675134000,ETHUSDT,1570.0,1569.37,1575.63,1569.11,11263.744,17716305
1675130400,ETHUSDT,1570.41,1569.99,1574.99,1563.36,17360.797,27255822
1675126800,ETHUSDT,1566.21,1570.41,1576.2,1561.82,20822.4,32653447
1675123200,ETHUSDT,1563.97,1566.2,1567.87,1560.65,19188.72,30026330
1675119600,ETHUSDT,1556.64,1563.96,1567.0,1545.01,17015.521,26484861
1675116000,ETHUSDT,1553.16,1556.64,1561.14,1552.56,13490.402,21017617
1675112400,ETHUSDT,1554.25,1553.16,1554.62,1536.84,26443.498,40917499
1675108800,ETHUSDT,1578.2,1554.24,1578.39,1535.0,69332.875,107701913
1675105200,ETHUSDT,1581.24,1578.2,1583.93,1573.93,17904.297,28266575
1675101600,ETHUSDT,1583.12,1581.24,1588.54,1579.84,14055.445,22270801
1675098000,ETHUSDT,1585.18,1583.11,1590.46,1578.25,16460.709,26078181
1675094400,ETHUSDT,1596.41,1585.18,1597.03,1570.8,32692.2,51816612
1675090800,ETHUSDT,1577.27,1596.41,1596.41,1575.24,28338.543,44979860
1675087200,ETHUSDT,1577.4,1577.26,1581.52,1576.06,14097.388,22259936
1675083600,ETHUSDT,1581.55,1577.4,1585.12,1567.68,41535.605,65530113
1675080000,ETHUSDT,1585.69,1581.55,1588.88,1577.98,27263.076,43192753
1675076400,ETHUSDT,1587.8,1585.69,1595.56,1577.0,45959.527,72918448
1675072800,ETHUSDT,1619.92,1587.79,1620.43,1581.6,83690.4,133792358
1675069200,ETHUSDT,1627.44,1619.93,1630.11,1615.43,21614.629,35055479
1675065600,ETHUSDT,1629.46,1627.45,1631.89,1621.8,13501.176,21965435
1675062000,ETHUSDT,1635.87,1629.45,1636.72,1624.9,14449.638,23575986
1675058400,ETHUSDT,1636.37,1635.87,1636.38,1631.99,10374.954,16950230
1675054800,ETHUSDT,1637.97,1636.37,1641.37,1634.99,7658.0786,12551177
1675051200,ETHUSDT,1635.8,1637.98,1638.65,1634.37,9660.438,15809888
1675047600,ETHUSDT,1638.29,1635.8,1638.58,1631.48,14515.479,23733035
1675044000,ETHUSDT,1646.08,1638.3,1647.53,1633.43,16055.63,26316685
1675040400,ETHUSDT,1644.73,1646.08,1647.28,1636.36,19757.094,32451324
1675036800,ETHUSDT,1643.03,1644.72,1654.4,1641.47,22054.773,36350752
1675033200,ETHUSDT,1643.37,1643.02,1645.0,1640.41,7662.67,12593127
1675029600,ETHUSDT,1635.68,1643.37,1647.11,1632.97,13787.782,22620529
1675026000,ETHUSDT,1653.86,1635.68,1655.37,1627.57,38724.082,63620589
1675022400,ETHUSDT,1629.37,1653.86,1660.0,1628.95,67990.72,112023262
1675018800,ETHUSDT,1617.74,1629.37,1633.31,1614.05,33027.758,53681567
1675015200,ETHUSDT,1614.09,1617.75,1621.81,1611.19,18098.38,29251283
1675011600,ETHUSDT,1611.44,1614.09,1618.14,1605.46,19648.0,31671679
1675008000,ETHUSDT,1615.48,1611.44,1616.19,1609.49,13814.332,22277683
1675004400,ETHUSDT,1612.83,1615.48,1616.1,1605.53,18935.48,30500151
1675000800,ETHUSDT,1610.61,1612.83,1626.64,1609.75,35833.74,57946814
1674997200,ETHUSDT,1609.08,1610.62,1613.33,1603.52,15663.949,25196960
1674993600,ETHUSDT,1611.85,1609.08,1619.79,1594.0,31445.182,50495787
1674990000,ETHUSDT,1600.99,1611.85,1615.85,1600.99,29367.04,47257475
1674986400,ETHUSDT,1590.45,1600.99,1604.95,1589.71,18156.357,29035436
1674982800,ETHUSDT,1592.59,1590.46,1594.88,1588.97,7132.435,11352470
1674979200,ETHUSDT,1593.96,1592.58,1595.42,1588.45,8135.688,12948987
1674975600,ETHUSDT,1597.33,1593.97,1597.9,1592.2,9183.995,14652224
1674972000,ETHUSDT,1598.31,1597.33,1599.39,1593.99,6273.076,10014052
1674968400,ETHUSDT,1594.36,1598.31,1599.22,1592.11,7936.2993,12661707
1674964800,ETHUSDT,1591.99,1594.36,1595.27,1588.63,9158.29,14578201
1674961200,ETHUSDT,1602.69,1592.0,1607.26,1582.45,28641.078,45608188
1674957600,ETHUSDT,1584.84,1602.7,1618.99,1584.83,70582.555,113402553
1674954000,ETHUSDT,1572.1,1584.84,1587.65,1566.33,20514.254,32393636
1674950400,ETHUSDT,1564.7,1572.1,1574.06,1562.3,10302.408,16164736
1674946800,ETHUSDT,1566.98,1564.7,1568.65,1561.33,9106.161,14251290
1674943200,ETHUSDT,1561.31,1566.98,1569.64,1555.99,15558.281,24334655
1674939600,ETHUSDT,1577.12,1561.32,1577.59,1560.0,14034.339,22004065
1674936000,ETHUSDT,1572.59,1577.12,1578.46,1572.06,6346.1143,10004057
1674932400,ETHUSDT,1576.48,1572.59,1577.07,1570.62,6999.3105,11012059
1674928800,ETHUSDT,1577.79,1576.49,1579.25,1569.69,10134.169,15954269
1674925200,ETHUSDT,1578.42,1577.79,1580.55,1576.22,9798.21,15467903
1674921600,ETHUSDT,1570.6,1578.43,1580.57,1567.22,19527.414,30769315
1674918000,ETHUSDT,1573.3,1570.6,1574.0,1570.0,11071.408,17410647
1674914400,ETHUSDT,1582.87,1573.3,1582.87,1561.76,54484.008,85602205
