time,keyword,positive,negative,neutral
1677718800,#ETH,25,7,137
1677715200,#ETH,24,1,94
1677711600,#ETH,24,1,112
1677708000,#ETH,24,4,118
1677704400,#ETH,34,2,164
1677700800,#ETH,31,2,160
1677697200,#ETH,33,8,159
1677693600,#ETH,28,1,171
1677690000,#ETH,36,6,158
1677686400,#ETH,22,8,170
1677682800,#ETH,34,3,163
1677679200,#ETH,29,2,169
1677675600,#ETH,25,7,168
1677672000,#ETH,27,0,162
1677668400,#ETH,28,1,139
1677664800,#ETH,0,0,0
1677661200,#ETH,0,0,0
1677657600,#ETH,0,0,0
1677654000,#ETH,0,0,0
1677650400,#ETH,0,0,0
1677646800,#ETH,0,0,0
1677643200,#ETH,0,0,0
1677639600,#ETH,0,0,0
1677636000,#ETH,0,0,0
1677632400,#ETH,0,0,0
1677628800,#ETH,0,0,0
1677625200,#ETH,0,0,0
1677621600,#ETH,0,0,0
1677618000,#ETH,0,0,0
1677614400,#ETH,0,0,0
1677610800,#ETH,0,0,0
1677607200,#ETH,0,0,0
1677603600,#ETH,0,0,0
1677600000,#ETH,0,0,0
1677596400,#ETH,0,0,0
1677592800,#ETH,0,0,0
1677589200,#ETH,0,0,0
1677585600,#ETH,0,0,0
1677582000,#ETH,0,0,0
1677578400,#ETH,0,0,0
1677574800,#ETH,0,0,0
1677571200,#ETH,0,0,0
1677567600,#ETH,0,0,0
1677564000,#ETH,0,0,0
1677560400,#ETH,0,0,0
1677556800,#ETH,0,0,0
1677553200,#ETH,0,0,0
1677549600,#ETH,0,0,0
1677546000,#ETH,0,0,0
1677542400,#ETH,22,2,118
1677538800,#ETH,18,2,109
1677535200,#ETH,31,6,128
1677531600,#ETH,28,4,167
1677528000,#ETH,37,9,154
1677524400,#ETH,34,2,164
1677520800,#ETH,30,6,164
1677517200,#ETH,35,3,162
1677513600,#ETH,27,4,169
1677510000,#ETH,27,6,157
1677506400,#ETH,37,5,158
1677502800,#ETH,37,2,161
1677499200,#ETH,21,4,174
1677495600,#ETH,31,2,167
1677492000,#ETH,23,3,148
1677488400,#ETH,24,2,152
1677484800,#ETH,23,4,119
1677481200,#ETH,25,3,118
1677477600,#ETH,15,1,96
1677474000,#ETH,19,2,102
1677470400,#ETH,12,2,114
1677466800,#ETH,20,1,107
1677463200,#ETH,22,2,89
1677459600,#ETH,24,4,105
1677456000,#ETH,22,2,96
1677452400,#ETH,22,3,103
1677448800,#ETH,28,2,116
1677445200,#ETH,43,3,154
1677441600,#ETH,44,4,152
1677438000,#ETH,66,1,133
1677434400,#ETH,32,7,149
1677430800,#ETH,26,6,146
1677427200,#ETH,37,8,155
1677423600,#ETH,38,2,157
1677420000,#ETH,33,2,132
1677416400,#ETH,28,3,146
1677412800,#ETH,24,5,159
1677409200,#ETH,33,5,155
1677405600,#ETH,24,2,138
1677402000,#ETH,23,4,125
1677398400,#ETH,26,0,115
1677394800,#ETH,19,2,103
1677391200,#ETH,10,1,93
1677387600,#ETH,24,4,80
1677384000,#ETH,15,3,84
1677380400,#ETH,21,4,111
1677376800,#ETH,22,1,68
1677373200,#ETH,21,1,80
1677369600,#ETH,14,2,106
1677366000,#ETH,24,2,108
1677362400,#ETH,33,2,111
1677358800,#ETH,27,1,127
1677355200,#ETH,22,1,116
1677351600,#ETH,32,1,135
1677348000,#ETH,32,5,144
1677344400,#ETH,18,7,142
1677340800,#ETH,29,2,154
1677337200,#ETH,32,5,136
1677333600,#ETH,33,5,162
1677330000,#ETH,31,4,140
1677326400,#ETH,21,3,152
1677322800,#ETH,22,2,129
